Domaine;Titre;Sous_Titre;Référence_Reglementaire;ID_Article;Exigence;Documents_Justificatif;Lien_1;Lien_2;Lien_3;Lien_4;Derniere_verification_JO
Déchets;Permis de déchets / licence;0;"Décision du 8 juillet 2020 spécifiant les conditions de qualification comme exportateur de déchets dangereux spéciaux; Article 2; Article 5";9;Si la société exporte des déchets dangereux spéciaux, il obtient un certificat de qualification d exportateur du département compétent du ministére de l Environnement et des énergies renouvelables.;* Exportateur du certificat de qualification des déchets dangereux spéciaux;0;0;0;0;17/07/2026
Déchets;Expédition de déchets nationaux;0;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 17";10;Si l installation transporte des déchets dangereux spéciaux, il garantit que la charge est accompagnée d un document de transport.;* Document de transport;0;0;0;0;17/07/2026
Déchets;Expédition de déchets nationaux;0;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 9";11;Si l installation transporte des déchets dangereux spéciaux, les véhicules doivent être placés de l extérieur avec des panneaux clairs spécifiques à la catégorie des déchets transportés afin de faciliter l identification des déchets transportés.;nan;0;0;0;0;18/07/2026
Déchets;Opérations d élimination des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 8";12;Si l installation génére des déchets mais n est pas en mesure de les récupérer, il garantit l élimination respectueuse de ces déchets.;nan;0;0;0;0;18/07/2026
Déchets;Opérations d élimination des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 11";13;Si l installation a ou génére des déchets, les opérations d élimination des déchets ne nuisent pas à la santé publique et à l environnement.;nan;0;0;0;0;18/07/2026
Déchets;Opérations d élimination des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 19";14;Si l installation traite les déchets spéciaux dangereux, il ne le fait que dans un établissement de traitement autorisé.;* Facture d un centre de traitement autorisé;0;0;0;0;18/07/2026
Déchets;Opérations d élimination des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 15";15;L opérateur de l installation de traitement des déchets vérifie l absence de radioactivité pour toute nouvelle charge de déchets spéciaux;nan;0;0;0;0;18/07/2026
Déchets;Opérations d élimination des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 20";16;Si l installation dispose de déchets spéciaux dangereux, il ne le fait que dans les sites et installations désignés à cette fin.;nan;0;0;0;0;18/07/2026
Déchets;Opérations d élimination des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 37";17;L installation dispose uniquement de déchets inertes ou les envoie pour éliminer les sites désignés à cette fin.;* Facture d un site d élimination désigné;0;0;0;0;18/07/2026
Déchets;Opérations d élimination des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 39";18;L installation dispose uniquement de déchets inertes qui ne sont pas récupérables dans des sites adaptés et autorisés à les recevoir.;* Facture d un site d élimination désigné;0;0;0;0;18/07/2026
Déchets;Gaspillage d emballage;0;"Loi n ° 85-05 du 16 février 1985 sur la protection et la promotion de la santé; Art. 36";19;L installation n utilise pas de matériaux d emballage qui sont scientifiquement reconnus comme dangereux.;nan;0;0;0;0;18/07/2026
Déchets;Gaspillage d emballage;0;"Décert exécutif 02-372 du 11 novembre 2002 sur les déchets d emballage; Art. 3";20;Si l installation détient ou génére des déchets d emballage, il récupére ces déchets lui-même ou délégue la tâche à une installation autorisée ou adhére au systéme public de reprendre, de recyclage et de récupération.;nan;0;0;0;0;18/07/2026
Déchets;Déchets dangereux généraux;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 12";1;Si l’installation fournit ses déchets spéciaux à un établissement de traitement, il a obtenu un certificat d’acceptation préalable (certificat d’acceptation préalable) de l’opérateur.;* Certificat d acceptation préalable des déchets spéciaux obtenus à partir de l établissement de traitement des déchets;0;0;0;0;18/07/2026
Déchets;Déchets dangereux généraux;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 21 Décret exécutif 05-315 du 10 septembre 2005 Régles de fixation de la déclaration de déchets spéciaux; Art. 2, 3";2;Si l installation a ou génére des déchets spéciaux dangereux, il fournit l administration en charge de l environnement avec une déclaration annuelle sur la quantité, la nature et les caractéristiques des déchets.;* Déclaration sur la quantité, la nature et les caractéristiques des déchets spéciaux dangereux générés.;0;0;0;0;18/07/2026
Déchets;Déchets dangereux généraux;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 21 Décret exécutif 05-315 du 10 septembre 2005 Régles de fixation de la déclaration de déchets spéciaux; Art. 2";3;Si l installation génére des déchets spéciaux dangereux, il fournit au ministére de l Environnement des informations concernant le traitement de ces déchets, ainsi que des moyens et des mesures adoptés pour réduire la production de déchets.;* Déclaration du traitement des déchets spéciaux dangereux générés.;0;0;0;0;18/07/2026
Déchets;Déchets dangereux généraux;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 16";4;Si l installation a ou génére des déchets spéciaux, il garantit sa gestion à ses propres dépenses.;nan;0;0;0;0;18/07/2026
Déchets;Déchets dangereux généraux;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 20";5;L installation n enterre pas les déchets dangereux dans les zones non destinées à recevoir ce type de déchets.;nan;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-161 du 10 juillet 1993 sur les décharges de pétrole et de lubrifiants d occasion dans l environnement; Art. 3";6;L installation ne décharge pas des substances lubrifiantes ou toute d huile neuve ou utilisée dans l environnement.;nan;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les régles sur le retrait et le traitement de l huile d occasion; Art. 3";7;Si l installation détient les huiles d occasion, aprés avoir obtenu l approbation nécessaire, garantit que l huile utilisée est traitée soit pour réutiliser, utilisée comme source de combustion, incinérée, stockée avant son élimination, soit exportée pour le traitement.;nan;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les régles sur le retrait et le traitement de l huile d occasion; Art. 4";8;Si l installation gére l huile utilisée, elle est stockée dans des conteneurs à l épreuve des fuites afin qu il puisse être stocké et éliminé en toute sécurité.;nan;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les régles sur le retrait et le traitement de l huile d occasion; Art. 5";9;Si l installation gére le pétrole utilisé, il faut des mesures adéquates pour les gérer.;nan;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les régles sur le retrait et le traitement de l huile d occasion; Art. 10";10;Si l installation utilise le pétrole utilisé comme combustible, il a obtenu une autorisation du ministre de l Environnement.;* Autorisation d utiliser l huile d occasion comme carburant combustible;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les régles sur le retrait et le traitement de l huile d occasion; Art. 11";11;Si l installation incinte a utilisé du pétrole ou l utilise comme telle, elle a obtenu une autorisation du ministre de l Environnement.;* L autorisation d inciner à l huile utilisée ou l utilise comme telle;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les régles sur le retrait et le traitement de l huile d occasion; Art. 12";12;Si l installation se régénére a utilisé du pétrole, elle a obtenu une autorisation «agrément» du ministre de l Environnement.;* Autorisation de régénérer l huile utilisée;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les régles sur le retrait et le traitement de l huile d occasion; Art. 5";13;Si l installation contient des huiles d occasion, tout transport des huiles d occasion est effectué soit par l installation, soit par un collecteur enregistré.;* Preuve de transport de l huile d occasion;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les régles sur le retrait et le traitement de l huile d occasion; Art. 4";14;Si l installation contient de l huile d occasion, elle la stocke de maniére à éviter leur mélange avec des contaminants d huile ou non d huile qui peuvent avoir un impact sur leur traitement ou entraîner la génération de matériaux toxiques pendant leurs différents usages.;nan;0;0;0;0;18/07/2026
Déchets;Huile d occasion;0;"Décret exécutif n ° 04-88 du 22 mars 2004 réglementant le traitement et la régénération des huiles d occasion; Art. 20";15;Si l installation régénére le pétrole utilisé, il se soumet tous les 3 mois au ministére en charge des statistiques d hydrocarbures sur la quantité d huile utilisée manipulée.;* Records de la quantité d huile utilisée gérée;0;0;0;0;18/07/2026
Déchets;Batteries d occasion;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 19 (1) Décret exécutif n ° 06-104 du 28 février 2008 sur la liste des déchets et des déchets spéciaux dangereux; Annexe III";16;Si l installation génére des batteries et des accumulateurs d occasion contenant du plomb, du nickel de mercure et du cadmium, il ne le dispose que dans les installations de traitement autorisées.;* Facture d un centre de traitement autorisé;0;0;0;0;18/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 8";17;Si l installation génére des déchets infectieux, il les stocke dans des conteneurs rigides et résistants.;nan;0;0;0;0;18/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 9";18;Les déchets infectieux sont pré-collectés (c est-à-dire stockés) dans des sacs en plastique jaune résistants, résistants, d au moins 0,1 mm d épaisseur, qui n émettent pas de chlore pendant l incinération.;nan;0;0;0;0;18/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 11";19;Les déchets toxiques sont pré-collectés (c est-à-dire stockés) dans des sacs en plastique rouge à usage unique, résistants, qui n émettent pas de chlore pendant l incinération.;nan;0;0;0;0;18/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 25";20;Si l installation incinte ses propres déchets infectieux, il a obtenu une autorisation préalable et est conforme aux exigences qui s y trouvent.;* Autorisation d incinérer les déchets infectieux;0;0;0;0;11/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 13";21;Si l installation génére des déchets médicaux, il les trie de maniére à éviter le mélange.;nan;0;0;0;0;11/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 14";22;Si l installation génére des déchets médicaux, il ne les compacte pas.;nan;0;0;0;0;11/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 15";23;Si l installation génére des déchets médicaux, il place les sacs contenant des déchets médicaux dans des conteneurs rigides équipés d une couverture et les envoie dans des locaux de collecte.;nan;0;0;0;0;11/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 17";24;Les conteneurs qui ont servi pour la collecte et le transport sont lavés et décontaminés aprés chaque utilisation.;nan;0;0;0;0;11/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 18";25;Si l installation génére des déchets médicaux, il ne les stocke que dans des locaux de collecte qui sont correctement équipés et entretenus à cette fin.;nan;0;0;0;0;11/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 21";26;Si l installation génére des déchets médicaux, il les stocke dans des locaux de stockage pendant 24 heures si l installation dispose d un incinérateur et ne dépassant pas 48 heures si l installation n a pas d incinérateur.;nan;0;0;0;0;10/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 24";27;Si l installation génére des déchets infectieux médicaux, il garantit qu ils sont incinérés, qu il s agisse d un incinérateur hors site ou d un incinérateur hors site.;nan;0;0;0;0;11/07/2026
Déchets;Déchets médicaux / infectieux;0;"Décert exécutif 03-478 du 09 décembre 2003 sur la gestion des déchets médicaux; Art. 19";28;Les locaux de collecte pour le stockage des déchets médicaux dans l établissement sont ventilés, allumés, fournis avec une source d eau et connectés au systéme d égouts;nan;0;0;0;0;11/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 4";29;Si l installation génére des déchets radioactifs, il garantit la protection de l environnement, du public et des travailleurs de ces déchets.;nan;0;0;0;0;11/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 5";30;L opérateur de l installation générant des déchets radioactifs au-dessus des limites d exemption effectue toutes les opérations par rapport à la gestion des déchets radioactifs, à l exception de leur stockage final.;nan;0;0;0;0;11/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 6";31;"L opérateur de l installation ou de l installation générant des déchets radioactifs au-dessus des limites d exemption désigne un ""coordinateur"" en charge de la gestion des déchets radioactifs dans l installation et des relations avec toutes les parties et autorités traitant de la gestion des déchets radioactifs.";nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 8";32;Si l installation gére les déchets radioactifs, il a obtenu une autorisation préalable de la Commission de l énergie atomique (commissariat à l Énergie Atomique) et est conforme aux exigences qui s y trouvent.;* Autorisation de gérer les déchets radioactifs;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 9";33;Les déchets radioactifs sont triés selon les directives énoncées dans l annexe au décret présidentiel 05-119.;nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 11";34;Les conteneurs utilisés pour le transport de déchets radioactifs sont manipulés et étiquetés avec des signes indélébiles informant l origine des déchets radioactifs, l élément radioactif, son activité, sa date de production, ainsi que tous les risques chimiques et biologiques qui lui sont associés.;nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 12";35;Le générateur ou l opérateur d une installation qui génére des déchets radioactifs garantit qu ils sont temporairement stockés, avant le traitement ou l élimination des sites avec un niveau adéquat de protection radiologique et physique.;nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 12";36;Pendant le stockage temporaire avant le traitement ou l élimination, les déchets radioactifs sont séparés de ceux qui n ont pas été traités.;nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 13";37;L installation garantit que les sources radioactives scellées utilisées sont retournées au fournisseur à la fin de leur cycle de vie.;* Contrat entre le fournisseur de la source radioactive et l installation en l utilisant;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 13";38;L installation n importe pas de déchets radioactifs.;nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 14";39;Les déchets radioactifs solides et liquides sont collectés dans des conteneurs adéquats, puis traités pour éviter tous les risques de dispersion de la radioactivité sous quelque forme que ce soit.;nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 14";40;L installation ne décharge pas les déchets radioactifs solides dans les eaux de surface, le systéme d égout ou les collecteurs d eaux usées.;nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 20";41;Si l installation génére des déchets radioactifs, il réalise un programme de surveillance de qualité approuvé pour garantir la conformité aux exigences de sécurité.;* Programme de surveillance de la qualité approuvé de la conformité aux exigences de sécurité relatives aux déchets radioactifs;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 19";42;Si l installation génére des déchets radioactifs, il prépare et conserve un registre (Registre d Inventaire) sur les déchets radioactifs.;* Registre de l inventaire des déchets radioactifs;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 20";43;Si l installation génére des déchets radioactifs, il prépare un rapport annuel adressé à la Commission de l énergie atomique (commissariat à l énergie atomique) concernant l état de déchets radioactifs gérés.;* Rapport annuel sur la gestion des déchets radioactifs;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 21";44;L installation maintient toutes les données relatives aux déchets radioactifs qu il a générés dans les archives.;nan;0;0;0;0;17/07/2026
Déchets;Déchets radioactifs;0;"Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 22";45;L installation a établi un plan décrivant des actions et des réponses d urgence concernant les dangers liés aux déchets radioactifs.;* Plans pour les réponses d urgence aux risques de déchets radioactifs;0;0;0;0;17/07/2026
Déchets;Expédition de déchets internationaux;0;"Décret exécutif n ° 19-10 du 23 janvier 2019 organisant l exportation de déchets dangereux spéciaux; Article 10; Annexe 4";1;Si la Société exporte des déchets dangereux spéciaux, il emballe, étiquette et transporte les déchets conformément aux directives fournies à l annexe IV du décret exécutif n ° 19-10 du 23 janvier 2019 organisant l exportation de déchets dangereux spéciaux.;nan;0;0;0;0;17/07/2026
Déchets;Restrictions internationales d expédition des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 25";2;L installation n importe pas de déchets spéciaux dangereux.;nan;0;0;0;0;17/07/2026
Déchets;Restrictions internationales d expédition des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 26";3;L installation exporte des déchets spéciaux dangereux uniquement aux pays avec lesquels il existe des accords nationaux sur la question.;* Records d exportation des déchets spéciaux dangereux;0;0;0;0;17/07/2026
Déchets;Restrictions internationales d expédition des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 26";4;L installation a une autorisation du ministére de l Environnement avant toute opération d exportation ou de transit impliquant des déchets spéciaux dangereux.;* Autorisation pour l exportation ou le transit des déchets spéciaux dangereux;0;0;0;0;17/07/2026
Déchets;Restrictions internationales d expédition des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 26";5;Les conteneurs de déchets sont scellés avant toute opération d exportation ou de transit impliquant des déchets spéciaux dangereux.;nan;0;0;0;0;17/07/2026
Déchets;Collecteurs de déchets et transporteurs de déchets;0;"Décret exécutif n ° 09-19 du 20 janvier 2009 sur les activités de collecte des déchets spéciaux; Art. 2";1;Si l installation recueille des déchets spéciaux, il détient une autorisation valide du ministre de l Environnement.;* Autorisation de collecter des déchets spéciaux;0;0;0;0;17/07/2026
Déchets;Collecteurs de déchets et transporteurs de déchets;0;"Décret exécutif n ° 09-19 du 20 janvier 2009 sur les activités de collecte des déchets spéciaux; Art. 7";2;Le percepteur spécial des déchets a contracté une assurance couvrant sa responsabilité pour tous les effets néfastes qu il pourrait provoquer au public.;* Contrat d assurance couvrant l activité de collecte des déchets spéciaux;0;0;0;0;17/07/2026
Déchets;Collecteurs de déchets et transporteurs de déchets;0;"Décret exécutif n ° 09-19 du 20 janvier 2009 sur les activités de collecte des déchets spéciaux; Art. 8 et art. 9";3;Le collecteur de déchets spéciaux conserve un registre signé et numéroté sur les déchets spéciaux collectés.;* Inscrivez-vous sur des déchets spéciaux collectés;0;0;0;0;17/07/2026
Déchets;Collecteurs de déchets et transporteurs de déchets;0;"Décret exécutif n ° 09-19 du 20 janvier 2009 sur les activités de collecte des déchets spéciaux; Art. 10";4;Le collecteur de déchets spéciaux soumet chaque année une déclaration sur son activité aux autorités environnementales locales.;* Déclaration annuelle sur les activités de collecte de déchets spéciaux;0;0;0;0;17/07/2026
Déchets;Sites de traitement des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 15";5;Si l installation traite les déchets spéciaux, il le fait, uniquement dans les installations autorisées par le ministére de l Environnement;* Autorisation pour un traitement des déchets spéciaux dangereux;0;0;0;0;17/07/2026
Déchets;Sites de traitement des déchets;0;"Décert exécutif 02-372 du 11 novembre 2002 sur les déchets d emballage; Art. 7";6;Si l établissement est un établissement de traitement des déchets d emballage, il a une autorisation préalable délivrée par le ministére de l environnement.;* Autorisation pour le traitement des déchets d emballage;0;0;0;0;17/07/2026
Déchets;Sites de traitement des déchets;0;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l élimination des déchets; Art. 47";7;L opérateur d une installation de traitement des déchets fournit l autorité d inspection et de surveillance de toutes les informations demandées.;nan;0;0;0;0;17/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 5";8;L installation de traitement des déchets met un panneau à l entrée principale du site indiquant des informations concernant l installation et les déchets.;nan;0;0;0;0;17/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 15";9;L opérateur d une installation de traitement des déchets inspecte visuellement toute nouvelle charge de déchets spéciaux à l entrée et au point de stockage.;* Records des inspections visuelles de nouveaux charges de déchets spéciaux;0;0;0;0;17/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 6";10;Les sorties de l installation de traitement des déchets sont équipées d une clôture robuste et gardées pendant les heures de fonctionnement.;nan;0;0;0;0;17/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 6";11;Les sorties de l installation de traitement des déchets sont fermées et gardées aprés les heures de fonctionnement.;nan;0;0;0;0;17/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 7";12;L opérateur de l installation de traitement des déchets met en place un poste de chéque lors des chéques d entrée pour vérifier tous les déchets entrants.;nan;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 7";13;L opérateur de l installation de traitement des déchets garantit que les charges entrantes sont pesées lors de l entrée dans l installation.;* Enregistrements de pondération des charges entrantes de déchets;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 18";14;"L’opérateur de l’installation de traitement des déchets conserve tous les certificats d’acceptation antérieurs ""certificat d’acceptation préalable"" de déchets spéciaux pendant au moins une période de 5 ans.";* Certificat d acceptation préalable des déchets spéciaux obtenus à partir de l établissement de traitement des déchets;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 7";15;L opérateur de l installation de traitement des déchets met en place à l entrée un appareil pour détecter la radioactivité des déchets spéciaux admis pour entrer dans l installation.;nan;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 16";16;L opérateur de l établissement de traitement des déchets soumet un rapport annuel d activités concernant les opérations de l installation au cours de l année précédente à l autorité de supervision et d inspection.;* Rapport d activité annuel d un centre de traitement des déchets;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 15";17;L opérateur de l installation de traitement des déchets pése toutes les nouvelles charges de déchets spéciaux dangereux.;* Enregistrements de pondération des charges entrantes de déchets;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 6";18;L installation de traitement des déchets est équipée d un filet de fil résistant qui l entoure.;nan;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 15";19;L’opérateur de l’installation de traitement des déchets vérifie l’existence d’un certificat d’acceptation préalable valide (certificat d’acceptation préalable) pour toute nouvelle charge de déchets spéciaux.;* Certificat d acceptation préalable des déchets spéciaux obtenus à partir de l établissement de traitement des déchets;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 15";20;L opérateur de l installation de traitement des déchets vérifie l existence de documents de mouvement pour toute nouvelle charge de déchets spéciaux.;* Documents de mouvement pour de nouvelles charges de déchets spéciaux;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décert exécutif 02-372 du 11 novembre 2002 sur les déchets d emballage; Art. 11";21;Si l installation est un établissement de traitement des déchets d emballage, il communique un rapport d activité sur une base annuelle à l autorité compétente.;* Rapport d activité annuel sur le traitement des déchets d emballage;0;0;0;0;18/07/2026
Déchets;Sites de traitement des déchets;0;"Décret exécutif 04-410 du 14 décembre 2004 sur les régles régissant le fonctionnement des installations de traitement des déchets et les conditions d acceptation des déchets dans ces installations; Art. 14";22;L opérateur de l établissement de traitement des déchets conserve un registre d admission (registre d admission) contenant des informations concernant les déchets spéciaux acceptés.;* Registre d admission aux déchets spéciaux (pour une installation de traitement des déchets);0;0;0;0;18/07/2026
